KeyID,SiteCode,Col Date,Sample type,envPCR_Sum,Env_qPCR (Ct)
44690.201,IN1,7/20/2012,soil,Pos,30.21
44690.202,IN1,7/20/2012,soil,Pos,28.55
44690.203,IN1,7/20/2012,soil,Pos,25.42
44690.204,IN1,7/20/2012,soil,Pos,25.95
44690.205,IN1,7/20/2012,soil,Pos,28.12
44690.206,IN1,7/20/2012,soil,Pos,26.72
44690.207,IN1,7/20/2012,soil,Pos,29.05
44690.208,IN1,7/20/2012,soil,Pos,25.05
44690.209,IN1,7/20/2012,wall,Pos,36.18
44690.210,IN1,7/20/2012,wall,Pos,38.23
44690.211,IN1,7/20/2012,wall,Neg,0.00
44690.212,IN1,7/20/2012,wall,Pos,35.63
44690.213,IN1,7/20/2012,wall,Pos,33.08
44690.214,IN1,7/20/2012,wall,Neg,0.00
44690.215,IN1,7/20/2012,wall,Neg,0.00
44690.216,IN1,7/20/2012,wall,Pos,32.92
44691.201,KY3,7/24/2012,soil,Pos,31.40
44691.202,KY3,7/24/2012,soil,Pos,32.02
44691.203,KY3,7/24/2012,soil,Pos,29.98
44691.204,KY3,7/24/2012,soil,Pos,31.82
44691.205,KY3,7/24/2012,soil,Pos,30.07
44691.206,KY3,7/24/2012,soil,Pos,30.67
44691.207,KY3,7/24/2012,soil,Pos,27.94
44691.208,KY3,7/24/2012,soil,Pos,32.25
44691.209,KY3,7/24/2012,wall,Neg,0.00
44691.210,KY3,7/24/2012,wall,Neg,0.00
44691.211,KY3,7/24/2012,wall,Pos,37.01
44691.212,KY3,7/24/2012,wall,Neg,0.00
44691.213,KY3,7/24/2012,wall,Neg,0.00
44691.214,KY3,7/24/2012,wall,Neg,0.00
44691.215,KY3,7/24/2012,wall,Pos,35.46
44691.216,KY3,7/24/2012,wall,Neg,0.00
44692.201,KY2,7/26/2012,soil,Neg,0.00
44692.202,KY2,7/26/2012,soil,Neg,0.00
44692.203,KY2,7/26/2012,soil,Neg,0.00
44692.204,KY2,7/26/2012,soil,Neg,0.00
44692.205,KY2,7/26/2012,soil,Neg,0.00
44692.206,KY2,7/26/2012,soil,Neg,0.00
44692.207,KY2,7/26/2012,soil,Neg,0.00
44692.208,KY2,7/26/2012,soil,Neg,0.00
44692.209,KY2,7/26/2012,wall,Neg,0.00
44692.210,KY2,7/26/2012,wall,Neg,0.00
44692.211,KY2,7/26/2012,wall,Neg,0.00
44692.212,KY2,7/26/2012,wall,Neg,0.00
44692.213,KY2,7/26/2012,wall,Neg,0.00
44692.214,KY2,7/26/2012,wall,Neg,0.00
44692.215,KY2,7/26/2012,wall,Neg,0.00
44692.216,KY2,7/26/2012,wall,Neg,0.00
44693.201,OH1,8/3/2012,soil,Pos,33.65
44693.202,OH1,8/3/2012,soil,Pos,30.04
44693.203,OH1,8/3/2012,soil,Pos,34.04
44693.204,OH1,8/3/2012,soil,Pos,35.25
44693.205,OH1,8/3/2012,soil,Pos,34.64
44693.206,OH1,8/3/2012,soil,Pos,35.86
44693.209,OH1,8/3/2012,wall,Neg,0.00
44693.210,OH1,8/3/2012,wall,Pos,34.67
44693.211,OH1,8/3/2012,wall,Neg,0.00
44693.212,OH1,8/3/2012,wall,Neg,0.00
44693.213,OH1,8/3/2012,wall,Neg,0.00
44693.214,OH1,8/3/2012,wall,Neg,0.00
44693.217,OH1,8/3/2012,soil,Pos,33.67
44693.218,OH1,8/3/2012,soil,Pos,34.80
44693.225,OH1,8/3/2012,wall,Neg,0.00
44693.226,OH1,8/3/2012,wall,Neg,0.00
44694.201,KY4,8/16/2012,soil,Neg,0.00
44694.202,KY4,8/16/2012,soil,Pos,36.77
44694.203,KY4,8/16/2012,soil,Neg,0.00
44694.204,KY4,8/16/2012,soil,Neg,0.00
44694.205,KY4,8/16/2012,soil,Pos,36.11
44694.206,KY4,8/16/2012,soil,Pos,31.46
44694.207,KY4,8/16/2012,soil,Neg,0.00
44694.208,KY4,8/16/2012,soil,Pos,34.52
44694.209,KY4,8/16/2012,wall,Neg,0.00
44694.210,KY4,8/16/2012,wall,Neg,0.00
44694.211,KY4,8/16/2012,wall,Neg,0.00
44694.212,KY4,8/16/2012,wall,Neg,0.00
44694.213,KY4,8/16/2012,wall,Neg,0.00
44694.214,KY4,8/16/2012,wall,Neg,0.00
44694.215,KY4,8/16/2012,wall,Neg,0.00
44694.216,KY4,8/16/2012,wall,Pos,38.01
44695.201,KY1,8/22/2012,soil,Neg,0.00
44695.202,KY1,8/22/2012,soil,Neg,0.00
44695.203,KY1,8/22/2012,soil,Neg,0.00
44695.204,KY1,8/22/2012,soil,Neg,0.00
44695.205,KY1,8/22/2012,soil,Neg,0.00
44695.206,KY1,8/22/2012,soil,Neg,0.00
44695.207,KY1,8/22/2012,soil,Neg,0.00
44695.208,KY1,8/22/2012,soil,Neg,0.00
44695.209,KY1,8/22/2012,wall,Neg,0.00
44695.210,KY1,8/22/2012,wall,Neg,0.00
44695.211,KY1,8/22/2012,wall,Neg,0.00
44695.212,KY1,8/22/2012,wall,Neg,0.00
44695.213,KY1,8/22/2012,wall,Neg,0.00
44695.214,KY1,8/22/2012,wall,Neg,0.00
44695.215,KY1,8/22/2012,wall,Neg,0.00
44695.216,KY1,8/22/2012,wall,Neg,0.00
44696.201,TN1,8/14/2012,soil,Neg,0.00
44696.202,TN1,8/14/2012,soil,Pos,32.01
44696.203,TN1,8/14/2012,soil,Neg,0.00
44696.204,TN1,8/14/2012,soil,Neg,0.00
44696.205,TN1,8/14/2012,soil,Pos,36.90
44696.206,TN1,8/14/2012,soil,Pos,33.23
44696.207,TN1,8/14/2012,soil,Pos,36.80
44696.208,TN1,8/14/2012,soil,Neg,0.00
44696.209,TN1,8/14/2012,wall,Pos,38.88
44696.210,TN1,8/14/2012,wall,Neg,0.00
44696.211,TN1,8/14/2012,wall,Neg,0.00
44696.212,TN1,8/14/2012,wall,Neg,0.00
44696.213,TN1,8/14/2012,wall,Pos,37.42
44696.214,TN1,8/14/2012,wall,Neg,0.00
44696.215,TN1,8/14/2012,wall,Pos,37.04
44696.216,TN1,8/14/2012,wall,Neg,0.00
44697.201,VA1,8/9/2012,soil,Neg,0.00
44697.202,VA1,8/9/2012,soil,Pos,27.79
44697.203,VA1,8/9/2012,soil,Pos,35.18
44697.204,VA1,8/9/2012,soil,Neg,0.00
44697.205,VA1,8/9/2012,soil,Pos,37.68
44697.206,VA1,8/9/2012,soil,Pos,34.79
44697.207,VA1,8/9/2012,soil,Pos,36.69
44697.208,VA1,8/9/2012,soil,Neg,0.00
44697.209,VA1,8/9/2012,wall,Neg,0.00
44697.210,VA1,8/9/2012,wall,Neg,0.00
44697.211,VA1,8/9/2012,wall,Neg,0.00
44697.212,VA1,8/9/2012,wall,Pos,34.85
44697.213,VA1,8/9/2012,wall,Neg,0.00
44697.214,VA1,8/9/2012,wall,Neg,0.00
44697.215,VA1,8/9/2012,wall,Neg,0.00
44697.216,VA1,8/9/2012,wall,Neg,0.00
